rank,handle,title,url,sold_out_variants,total_variants,leakage,demand_proxy,price_factor,restock_priority,sold_out_variant_titles,reason
18,mocha-cold-coffee,Mocha Cold Coffee,https://bluetokaicoffee.com/products/mocha-cold-coffee,2,2,1,0.7414,0.6489,0.6112,Pack of 2 Cans; Pack of 4 Cans,"2/2 variants sold out (Pack of 2 Cans, Pack of 4 Cans); in Bestsellers at position 59; updated 0d ago"
19,mokapot-printed-blue-coffee-tshirt,COFFEE T-SHIRT Blue (Mokapot),https://bluetokaicoffee.com/products/mokapot-printed-blue-coffee-tshirt,4,5,0.8,0.8971,0.7034,0.6112,Blue / Small; Blue / Medium; Blue / Large; Blue / Extra Large,"4/5 variants sold out (Blue / Small, Blue / Medium, Blue / Large); in Best selling products at position 1; updated 0d ago"
20,monsoon-malabar-easy-pour-coffee-sachets,Monsoon Malabar | Medium-Dark Roast - Easy Pour,https://bluetokaicoffee.com/products/monsoon-malabar-easy-pour-coffee-sachets,1,2,0.5,0.8758,0.6198,0.3547,Pack of 10 Sachets,1/2 variants sold out (Pack of 10 Sachets); in Bestsellers at position 9; updated 0d ago
21,13th-birthday-blend,13th Birthday Blend,https://bluetokaicoffee.com/products/13th-birthday-blend,3,3,1,0.3,0.7555,0.2633,250g; 500g; 1000g,"3/3 variants sold out (250g, 500g, 1000g); not in a merchandised collection; updated 0d ago"
22,winter-blend-1,Winter Blend,https://bluetokaicoffee.com/products/winter-blend-1,39,39,1,0.3,0.7488,0.2623,250g / Whole Bean; 250g / Aeropress; 250g / Channi; 250g / Coffee Filter; 250g / Cold Brew; 250g / Commercial Espresso; 250g / French Press; 250g / Home Espresso; 250g / Inverted Aeropress; 250g / Moka Pot; 250g / Pourover; 250g / South Indian Filter; 250g / Turkish; 500g / Whole Bean; 500g / Aeropress; 500g / Channi; 500g / Coffee Filter; 500g / Cold Brew; 500g / Commercial Espresso; 500g / French Press; 500g / Home Espresso; 500g / Inverted Aeropress; 500g / Moka Pot; 500g / Pourover; 500g / South Indian Filter; 500g / Turkish; 1000g / Whole Bean; 1000g / Aeropress; 1000g / Channi; 1000g / Coffee Filter; 1000g / Cold Brew; 1000g / Commercial Espresso; 1000g / French Press; 1000g / Home Espresso; 1000g / Inverted Aeropress; 1000g / Moka Pot; 1000g / Pourover; 1000g / South Indian Filter; 1000g / Turkish,"39/39 variants sold out (250g / Whole Bean, 250g / Aeropress, 250g / Channi); not in a merchandised collection; updated 0d ago"
23,riverdale-estate-gesha-natural,Riverdale Estate - Gesha Natural,https://bluetokaicoffee.com/products/riverdale-estate-gesha-natural,1,1,1,0.3,0.7333,0.26,100gms,1/1 variants sold out (100gms); not in a merchandised collection; updated 0d ago
24,pourover-printed-coffee-tshirt,COFFEE T-SHIRT Yellow (Pour over),https://bluetokaicoffee.com/products/pourover-printed-coffee-tshirt,5,5,1,0.3,0.7034,0.2555,Yellow / Small; Yellow / Medium; Yellow / Large; Yellow / Extra Large; Yellow / Double Extra Large,"5/5 variants sold out (Yellow / Small, Yellow / Medium, Yellow / Large); not in a merchandised collection; updated 0d ago"
25,mokapot-print-black-tshirt,COFFEE T-SHIRT Black (Mokapot),https://bluetokaicoffee.com/products/mokapot-print-black-tshirt,5,5,1,0.3,0.7034,0.2555,Small; Medium; Large; Extra Large; Double Extra Large,"5/5 variants sold out (Small, Medium, Large); not in a merchandised collection; updated 0d ago"
26,riverdale-estate-fruit-punch,Riverdale Estate – Fruit Punch,https://bluetokaicoffee.com/products/riverdale-estate-fruit-punch,1,1,1,0.3,0.7006,0.2551,200g,1/1 variants sold out (200g); not in a merchandised collection; updated 0d ago
27,ratnagiri-estate-yc-01,Ratnagiri Estate - YC 01,https://bluetokaicoffee.com/products/ratnagiri-estate-yc-01,1,1,1,0.3,0.7006,0.2551,200g,1/1 variants sold out (200g); not in a merchandised collection; updated 0d ago
28,garigekhan-estate-cat-129,Garigekhan Estate - CAT - 129,https://bluetokaicoffee.com/products/garigekhan-estate-cat-129,1,1,1,0.3,0.6776,0.2516,100gms,1/1 variants sold out (100gms); not in a merchandised collection; updated 0d ago
29,half-caff,Half - Caff,https://bluetokaicoffee.com/products/half-caff,2,2,1,0.3,0.6659,0.2499,100g; 200g,"2/2 variants sold out (100g, 200g); not in a merchandised collection; updated 0d ago"
30,sicc-excelsa,SICC - Excelsa,https://bluetokaicoffee.com/products/sicc-excelsa,1,1,1,0.3,0.6545,0.2482,100gms,1/1 variants sold out (100gms); not in a merchandised collection; updated 0d ago
31,the-teenage-trail-box-of-13-coffees,The Teenage Trail - Box of 13 Coffees,https://bluetokaicoffee.com/products/the-teenage-trail-box-of-13-coffees,1,1,1,0.27,0.7808,0.2404,390g,1/1 variants sold out (390g); not in a merchandised collection; updated 0d ago
32,kerehaklu-estate-blossom-culture,Kerehaklu Estate - Blossom Culture,https://bluetokaicoffee.com/products/kerehaklu-estate-blossom-culture,1,1,1,0.27,0.7144,0.2314,200g,1/1 variants sold out (200g); not in a merchandised collection; updated 0d ago
33,excelsa-by-mooleh-manay-estate,Excelsa by Mooleh Manay Estate,https://bluetokaicoffee.com/products/excelsa-by-mooleh-manay-estate,1,1,1,0.27,0.6617,0.2243,100g,1/1 variants sold out (100g); not in a merchandised collection; updated 0d ago
34,big-box-of-comfort,Big Box of Comfort,https://bluetokaicoffee.com/products/big-box-of-comfort,1,1,1,0.24,0.7807,0.2137,Default Title,1/1 variants sold out (Default Title); not in a merchandised collection; updated 0d ago
35,taanka-festive-special,Taanka | Festive Special,https://bluetokaicoffee.com/products/taanka-festive-special,1,1,1,0.27,0.5714,0.2121,Default Title,1/1 variants sold out (Default Title); not in a merchandised collection; updated 0d ago
36,taanka-classic-blue,Taanka | Classic Blue,https://bluetokaicoffee.com/products/taanka-classic-blue,1,1,1,0.27,0.5714,0.2121,Default Title,1/1 variants sold out (Default Title); not in a merchandised collection; updated 0d ago
37,little-box-of-love,Little Box of Love,https://bluetokaicoffee.com/products/little-box-of-love,1,1,1,0.24,0.7415,0.209,Default Title,1/1 variants sold out (Default Title); not in a merchandised collection; updated 0d ago
38,crc,Climate Resilient Coffees,https://bluetokaicoffee.com/products/crc,1,1,1,0.21,0.7144,0.18,130g,1/1 variants sold out (130g); not in a merchandised collection; updated 0d ago
39,moka-pot-hoodie,Moka Pot Hoodie,https://bluetokaicoffee.com/products/moka-pot-hoodie,5,5,1,0.2,0.7629,0.1763,Small; Medium; Large; Extra Large; Double Extra Large,"5/5 variants sold out (Small, Medium, Large); not in a merchandised collection; updated 0d ago; discounted"
40,espresso-machine,Mage - Espresso Machine,https://bluetokaicoffee.com/products/espresso-machine,1,1,1,0.17,1,0.17,Default Title,1/1 variants sold out (Default Title); not in a merchandised collection; updated 0d ago; discounted
